Frame_1,Frame_2,Frame_3,Frame_4,Frame_5,Label
data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_480.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_482.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_484.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_486.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_488.png,1
data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_470.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_472.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_474.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_476.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_478.png,1
data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_460.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_462.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_464.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_466.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_468.png,1
data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_450.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_452.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_454.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_456.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_458.png,1
data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_440.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_442.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_444.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_446.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_448.png,1
data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_430.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_432.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_434.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_436.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_438.png,1
data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_420.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_422.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_424.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_426.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_428.png,1
data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_410.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_412.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_414.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_416.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_418.png,1
data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_400.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_402.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_404.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_406.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_408.png,1
data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_390.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_392.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_394.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_396.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_398.png,1
data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_380.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_382.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_384.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_386.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_388.png,1
data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_370.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_372.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_374.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_376.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_378.png,1
data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_360.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_362.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_364.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_366.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_368.png,1
data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_350.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_352.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_354.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_356.png,data_handling/data/phantom/phantom_frames/Patient_001/Sequence_001/frame_358.png,1
